month,year,catch
1,2007,0
2,2007,0
3,2007,0
4,2007,0.224
5,2007,0.502
6,2007,0.381
7,2007,0.265
8,2007,0.875
9,2007,0.19
10,2007,0.464
11,2007,0.362
12,2007,0.347
1,2008,0.115
2,2008,0.038
3,2008,0.001
4,2008,0.01
5,2008,0.124
6,2008,0.161
7,2008,0.093
8,2008,0.055
9,2008,0.008
10,2008,0.491
11,2008,0.071
12,2008,0.035
1,2009,0.021
2,2009,0
3,2009,38.458
4,2009,0
5,2009,0.054
6,2009,0.023
7,2009,0.138
8,2009,0.069
9,2009,0.04
10,2009,0.002
11,2009,0.005
12,2009,0.039
1,2010,0.002
2,2010,0.009
3,2010,0.033
4,2010,0.002
5,2010,0.032
6,2010,0.364
7,2010,0.163
8,2010,0.022
9,2010,0.008
10,2010,2.297
11,2010,0.003
12,2010,0.037
1,2011,0.02
2,2011,0.055
3,2011,0.004
4,2011,0.007
5,2011,0.013
6,2011,0.048
7,2011,0.043
8,2011,0.087
9,2011,0.011
10,2011,0.03
11,2011,0.031
12,2011,0.034
1,2012,0.001
2,2012,0.153
3,2012,0
4,2012,0
5,2012,0.05
6,2012,0.182
7,2012,381.565
8,2012,0.263
9,2012,0
10,2012,0.022
11,2012,0.049
12,2012,0.354
1,2013,0
2,2013,0
3,2013,0
4,2013,0
5,2013,0.018
6,2013,252.349
7,2013,1309.245
8,2013,0.03
9,2013,10.481
10,2013,0.479
11,2013,65.204
12,2013,0.015
1,2014,0.004
2,2014,0.091
3,2014,0
4,2014,0.004
5,2014,237.319
6,2014,660.138
7,2014,1249.982
8,2014,344.639
9,2014,230.682
10,2014,0.005
11,2014,51.845
12,2014,0.01
1,2015,0.034
2,2015,2.796
3,2015,0.144
4,2015,50.335
5,2015,452.055
6,2015,1053.196
7,2015,321.554
8,2015,440.06
9,2015,427.548
10,2015,49.776
11,2015,1228.953
12,2015,935.469
1,2016,2210.073
2,2016,2186.212
3,2016,2329.542
4,2016,1730.251
5,2016,317.048
6,2016,316.657
7,2016,0.072
8,2016,113.959
9,2016,0.647
10,2016,75.103
11,2016,224.47
12,2016,576.951
1,2017,114.353
2,2017,22.848
3,2017,1052.501
4,2017,189.128
5,2017,341.023
6,2017,0.303
7,2017,43.424
8,2017,0.387
9,2017,0.313
10,2017,30.377
11,2017,206.59
12,2017,671.833
1,2018,1347.812
2,2018,1913.785
3,2018,756.719
4,2018,535.675
5,2018,1131.707
6,2018,542.719
7,2018,0.132
8,2018,0.054
9,2018,0.263
10,2018,316.978
11,2018,992.636
12,2018,752.367
1,2019,1283.592
2,2019,1918.799
3,2019,821.321
4,2019,1015.964
5,2019,3.182
6,2019,0.554
7,2019,0.718
8,2019,0.29
9,2019,0.027
10,2019,46.558
11,2019,596.295
12,2019,1106.373
1,2020,529.88
2,2020,2406.948
3,2020,1175.755
4,2020,0.056
5,2020,14.06
6,2020,0.553
7,2020,0.135
8,2020,0.261
9,2020,0.081
10,2020,14.475
11,2020,1711.135
12,2020,1742.27
1,2021,2877.629
2,2021,1423.153
3,2021,0.233
4,2021,0.07
5,2021,0.124
6,2021,0.283
7,2021,0.136
8,2021,0.129
9,2021,0.197
10,2021,749.262
11,2021,3103.545
12,2021,1821.354
1,2022,979.469
2,2022,676.83
3,2022,201.479
4,2022,0.051
5,2022,0.053
6,2022,0.258
7,2022,0.011
8,2022,0.17
9,2022,1303.317
10,2022,1831.363
11,2022,2014.232
12,2022,545.273
1,2023,1015.003
2,2023,889.855
3,2023,384.177
4,2023,0.081
5,2023,0.058
6,2023,0.304
7,2023,0.086
8,2023,0.17
9,2023,0.048
10,2023,1124.097
11,2023,2546.261
12,2023,1011.873
1,2024,1128.972
2,2024,958.286
3,2024,1372.797
4,2024,193.02
5,2024,0.097
6,2024,0.194
7,2024,0.379
8,2024,25.59
9,2024,0.255
10,2024,2234.372
11,2024,1446.486
12,2024,1077.531
1,2025,1232.016
2,2025,660.033
3,2025,1032.029
4,2025,0.074
5,2025,0.111
6,2025,0.102
7,2025,0
8,2025,0
9,2025,0
10,2025,0
11,2025,0
12,2025,0
